Binomial,Family,Genus,tiplabel,Adult_habitat,Life_history,Sex_dichromatism,SVL,mass,rootmass,eyesize
Dermatonotus_muelleri,Microhylidae,Dermatonotus,Dermatonotus_muelleri_Microhylidae,Fossorial,Free-living larvae,Absent,62.13333333,30.43333333,3.116406253,5.133333333
Dyscophus_antongilii,Microhylidae,Dyscophus,Dyscophus_antongilii_Microhylidae,Ground-dwelling,Free-living larvae,Present,68.33333333,44.7,3.422307553,9.8
Elachistocleis_ovalis,Microhylidae,Elachistocleis,Elachistocleis_ovalis_Microhylidae,Subfossorial,Free-living larvae,Absent,35.9,4.266666667,1.610268376,2.6
Gastrophryne_carolinensis,Microhylidae,Gastrophryne,Gastrophryne_carolinensis_Microhylidae,Subfossorial,Free-living larvae,Present,25.24285714,3.666666667,1.539017225,2.328571429
Gastrophryne_olivacea,Microhylidae,Gastrophryne,Gastrophryne_olivacea_Microhylidae,Subfossorial,Free-living larvae,Absent,28.08,2.166666667,1.28405772,2.18
Gastrophrynoides_borneensis,Microhylidae,Gastrophrynoides,Gastrophrynoides_borneensis_Microhylidae,Subfossorial,NA,NA,13.2,0.3,0.66943295,1.55
Glyphoglossus_guttulatus,Microhylidae,Glyphoglossus,Calluella_guttulata_Microhylidae,Fossorial,Free-living larvae,NA,42.5,9,2.007035513,3.75
Hoplophryne_rogersi,Microhylidae,Hoplophryne,Hoplophryne_rogersi_Microhylidae,Ground-dwelling,Free-living larvae,Absent,24.2,1.833333333,1.215566394,2.966666667
Hylophorbus_rufescens,Microhylidae,Hylophorbus,Hylophorbus_rufescens_Microhylidae,Ground-dwelling,No free-living larvae,NA,36.8,6.15,1.826139695,4.775
Kalophrynus_interlineatus,Microhylidae,Kalophrynus,Kalophrynus_interlineatus_Microhylidae,Subfossorial,NA,Absent,38.23333333,7.366666667,1.929476177,4.416666667
Kalophrynus_pleurostigma,Microhylidae,Kalophrynus,Kalophrynus_pleurostigma_Microhylidae,Subfossorial,Free-living larvae,Absent,44.66666667,10.53333333,2.154306042,5.5
Kaloula_conjuncta,Microhylidae,Kaloula,Kaloula_conjuncta_Microhylidae,Scansorial,Free-living larvae,NA,43.2,9.466666667,2.072499448,4.9
Kaloula_indochinensis,Microhylidae,Kaloula,Kaloula_indochinensis_Microhylidae,Ground-dwelling,NA,Absent,56.5,18,2.61984162,5.45
Kaloula_pulchra,Microhylidae,Kaloula,Kaloula_pulchra_Microhylidae,Ground-dwelling,Free-living larvae,Absent,66.85,39.75,3.406897635,6.85
Mantophryne_lateralis,Microhylidae,Mantophryne,Mantophryne_lateralis_Microhylidae,Ground-dwelling,No free-living larvae,NA,30.73333333,3.166666667,1.419712469,3.95
Melanobatrachus_indicus,Microhylidae,Melanobatrachus,Melanobatrachus_indicus_Microhylidae,Subfossorial,NA,NA,28.13333333,2.333333333,1.28004725,3.866666667
Microhyla_annectens,Microhylidae,Microhyla,Microhyla_annectens_Microhylidae,Ground-dwelling,Free-living larvae,Absent,17.36666667,0.6,0.828551573,2.2
Microhyla_heymonsi,Microhylidae,Microhyla,Microhyla_heymonsi_Microhylidae,Subfossorial,NA,Absent,19.55,1.55,1.124161945,2.275
