genus_species,Order,Family,Genus,Species,tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Arthroleptis_variabilis,Anura,Arthroleptidae,Arthroleptis,variabilis,Arthroleptis_variabilis_Arthroleptidae,40.3,6.6,1.875777455,5.1,4.3,4.7,5.4,4.4,4.9,Subfossorial,NA,Ground,No free-living larvae,No larvae,Absent
Ascaphus_truei,Anura,Ascaphidae,Ascaphus,truei,Ascaphus_truei_Ascaphidae,41.2,8,2,5.9,6.4,6.15,4.4,4.8,4.6,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Ascaphus_truei,Anura,Ascaphidae,Ascaphus,truei,Ascaphus_truei_Ascaphidae,39.8,6,1.817120593,5.5,5.1,5.3,4.2,4.4,4.3,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Ascaphus_truei,Anura,Ascaphidae,Ascaphus,truei,Ascaphus_truei_Ascaphidae,38.7,5,1.709975947,5.5,5.5,5.5,3.8,4,3.9,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Ascaphus_truei,Anura,Ascaphidae,Ascaphus,truei,Ascaphus_truei_Ascaphidae,36.1,5,1.709975947,5.3,5.5,5.4,4.3,4.3,4.3,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Astylosternus_montanus,Anura,Arthroleptidae,Astylosternus,montanus,Astylosternus_montanus_Arthroleptidae,54.2,19.6,2.6961995,7.5,7.6,7.55,5.7,5.4,5.55,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,NA
Astylosternus_montanus,Anura,Arthroleptidae,Astylosternus,montanus,Astylosternus_montanus_Arthroleptidae,44.4,11.9,2.283051214,6,6.1,6.05,4.6,4.7,4.65,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,NA
Astylosternus_montanus,Anura,Arthroleptidae,Astylosternus,montanus,Astylosternus_montanus_Arthroleptidae,44.5,10.6,2.196689235,6.3,6.3,6.3,5.3,5.1,5.2,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,NA
Atelopus_senex,Anura,Bufonidae,Atelopus,senex,Atelopus_senex_Bufonidae,27.7,1.6,1.169607095,3.8,3.4,3.6,2.8,2.8,2.8,Ground-dwelling,Diurnal,Lotic water,Free-living larvae,Lotic water,Present
Atelopus_senex,Anura,Bufonidae,Atelopus,senex,Atelopus_senex_Bufonidae,29.5,1.5,1.144714243,3.9,3.7,3.8,2.9,2.8,2.85,Ground-dwelling,Diurnal,Lotic water,Free-living larvae,Lotic water,Present
Atelopus_senex,Anura,Bufonidae,Atelopus,senex,Atelopus_senex_Bufonidae,26.9,1.5,1.144714243,3.5,3.3,3.4,3.1,2.8,2.95,Ground-dwelling,Diurnal,Lotic water,Free-living larvae,Lotic water,Present
Aubria_subsigillata,Anura,Pyxicephalidae,Aubria,subsigillata,Aubria_subsigillata_Pyxicephalidae,82.8,44.5,3.543670531,9.3,9.2,9.25,7.6,6.9,7.25,Aquatic,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Aubria_subsigillata,Anura,Pyxicephalidae,Aubria,subsigillata,Aubria_subsigillata_Pyxicephalidae,86,38.5,3.376656708,11.3,10.6,10.95,8.8,7.7,8.25,Aquatic,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Aubria_subsigillata,Anura,Pyxicephalidae,Aubria,subsigillata,Aubria_subsigillata_Pyxicephalidae,99,108,4.762203156,11.8,11.7,11.75,7.8,7.9,7.85,Aquatic,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Barbourula_busuangensis,Anura,Bombinatoridae,Barbourula,busuangensis,Barbourula_busuangensis_Bombinatoridae,85.1,51,3.708429769,10.1,11.6,10.85,8.1,7.9,8,Aquatic,Nocturnal,Lotic water,NA,NA,Absent
Barbourula_busuangensis,Anura,Bombinatoridae,Barbourula,busuangensis,Barbourula_busuangensis_Bombinatoridae,65.8,27,3,9.3,9.2,9.25,7.1,7.3,7.2,Aquatic,Nocturnal,Lotic water,NA,NA,Absent
Barbourula_busuangensis,Anura,Bombinatoridae,Barbourula,busuangensis,Barbourula_busuangensis_Bombinatoridae,46,11,2.223980091,7.5,6.6,7.05,5.1,5.3,5.2,Aquatic,Nocturnal,Lotic water,NA,NA,Absent
Barbourula_busuangensis,Anura,Bombinatoridae,Barbourula,busuangensis,Barbourula_busuangensis_Bombinatoridae,41,8,2,NA,5.8,5.8,NA,4.3,4.3,Aquatic,Nocturnal,Lotic water,NA,NA,Absent
Barycholos_pulcher,Anura,Craugastoridae,Barycholos,pulcher,Barycholos_pulcher_Strabomantidae,24.7,2.2,1.300591447,3.3,3,3.15,3.2,2.8,3,Subfossorial,NA,Ground,No free-living larvae,No larvae,NA
Barycholos_pulcher,Anura,Craugastoridae,Barycholos,pulcher,Barycholos_pulcher_Strabomantidae,25.3,2,1.25992105,3.5,3.4,3.45,2.8,3,2.9,Subfossorial,NA,Ground,No free-living larvae,No larvae,NA
Barycholos_pulcher,Anura,Craugastoridae,Barycholos,pulcher,Barycholos_pulcher_Strabomantidae,22.9,1.7,1.193483192,2.9,2.7,2.8,2.5,2.5,2.5,Subfossorial,NA,Ground,No free-living larvae,No larvae,NA
Batrachyla_leptopus,Anura,Batrachylidae,Batrachyla,leptopus,Batrachyla_leptopus_Batrachylidae,29.7,2,1.25992105,4.2,4.3,4.25,3.5,3.5,3.5,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,NA,Absent
Batrachyla_leptopus,Anura,Batrachylidae,Batrachyla,leptopus,Batrachyla_leptopus_Batrachylidae,29.8,3,1.44224957,4.6,4.4,4.5,3.8,3.7,3.75,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,NA,Absent
Batrachyla_leptopus,Anura,Batrachylidae,Batrachyla,leptopus,Batrachyla_leptopus_Batrachylidae,21.6,1,1,3.1,3.5,3.3,2.5,2.8,2.65,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,NA,Absent
Batrachyla_taeniata,Anura,Batrachylidae,Batrachyla,taeniata,Batrachyla_taeniata_Batrachylidae,29.3,3,1.44224957,4.3,4.3,4.3,3.6,3.8,3.7,Ground-dwelling,Nocturnal,Ground,Free-living larvae,NA,Absent
Batrachyla_taeniata,Anura,Batrachylidae,Batrachyla,taeniata,Batrachyla_taeniata_Batrachylidae,28.8,2,1.25992105,4.5,4.8,4.65,4,3.8,3.9,Ground-dwelling,Nocturnal,Ground,Free-living larvae,NA,Absent
Batrachyla_taeniata,Anura,Batrachylidae,Batrachyla,taeniata,Batrachyla_taeniata_Batrachylidae,26.8,2,1.25992105,4.1,4.6,4.35,3.6,3.5,3.55,Ground-dwelling,Nocturnal,Ground,Free-living larvae,NA,Absent
